uid,cards,notes,decks,presets
2443,674,674,2,1
2444,2210,2210,1,1
2445,40447,31188,96,32
2446,20451,11021,5,2
2447,40448,28303,562,2
2448,19780,11779,26,1
2449,11536,11265,53,1
2450,3872,3872,10,1
2451,1243,996,3,2
2452,14037,11635,488,1
2453,4188,4170,17,1
2454,22,22,1,1
2455,1094,590,16,1
2456,45988,36905,71,1
2457,20256,20256,741,3
2458,7536,3352,21,1
2459,37234,32868,6,1
2460,18762,16417,21,5
2461,11075,11075,265,1
2462,69597,68618,4,2
2463,64221,54250,140,1
2464,11079,11079,15,1
2465,564,564,1,1
2466,1841,1841,14,3
2467,26256,23433,699,1
2468,3553,2284,228,1
2469,4867,2435,5,3
2470,25781,23940,274,1
2471,569,563,51,3
2472,33814,30368,149,2
2473,18755,14003,155,1
2474,2621,2621,274,1
2495,69599,51931,306,1
2496,1657,1657,7,1
2497,44092,36913,65,2
2498,11111,8194,136,1
2499,2159,2070,8,1
2500,55996,49099,477,1
2501,64360,38710,1257,1
2502,7520,4061,8,4
2503,1638,1540,3,1
2504,69907,56988,423,1
2505,19481,17990,370,1
2506,2462,2462,4,1
2507,17605,16152,36,2
2508,216,216,1,1
2509,6843,6348,1,1
2510,8074,8044,61,1
2511,5710,5708,63,4
2512,547,547,7,1
2513,18877,9850,26,2
2514,4455,4455,111,1
2475,1382,1382,6,1
2476,147964,118864,2207,1
2477,17748,16348,13,2
2478,21672,17711,161,1
2479,40293,22426,45,1
2480,31706,28644,123,1
2481,4618,4587,177,1
2482,140062,108317,190,5
2483,122769,79101,264,1
2484,20545,17019,392,18
2485,6294,6294,3,3
2486,3370,3370,2,1
2487,24584,21424,264,3
2488,2164,2164,1,1
2489,70249,58130,537,3
2490,2241,2234,48,2
2491,19821,17798,181,1
2492,21463,17216,85,6
2493,10918,7649,7,1
2494,8994,8333,46,1
2515,37069,30203,56,2
2516,37586,29239,1245,1
2517,15025,14591,691,17
2518,5767,2890,50,1
2519,504,504,5,1
2520,53938,37943,122,1
2521,45353,39505,388,1
2522,5643,5323,100,1
2523,4119,3747,113,1
2524,2776,2553,37,1
2525,43949,22707,41,1
2526,15367,15118,131,1
2527,24479,20417,620,1
2528,253,253,3,3
2529,15248,11320,46,2
2530,57350,47500,104,1
2531,8382,8366,309,1
2532,5954,5954,1,1
2533,4603,2359,5,1
2534,1603,1603,39,1
2535,2613,1778,72,6
2536,17681,10187,61,3
2537,2306,2306,14,2
2538,971,971,47,1
2539,69679,66137,402,1
2540,47427,34456,816,1
2541,1048,906,4,1
2542,4336,3042,31,1
2543,45412,35877,97,1
2544,2725,2080,8,1
2545,1841,1841,156,1
2546,37134,24792,231,1
2547,50349,41928,105,2
2548,50659,43764,246,1
2549,1690,1690,57,6
2550,3532,2535,151,1
2551,2144,2144,79,1
2552,54894,28506,180,4
2553,44985,34011,11,2
2554,42519,26485,9,5
2555,5882,4070,8,1
2556,57142,41244,2431,1
2557,7754,7744,46,1
2558,42687,26463,42,1
2559,504,447,4,1
2560,2772,2761,2,1
2561,2709,2709,151,2
2562,24827,24819,830,1
2563,2811,2408,63,1
2564,1659,1659,8,1
2565,40811,35546,675,1
2566,1208,1208,26,1
2567,419,214,20,1
2568,61104,46344,1130,2
2569,45624,39935,1628,1
2570,272,252,5,1
2571,8254,5998,9,2
2572,98307,48121,276,6
2573,72307,56120,194,1
2574,5439,4685,75,1
2575,7065,3787,1,1
2576,3228,3225,102,1
2577,14880,12328,93,4
2578,203923,164455,1852,2
2579,806,403,2,1
2580,4115,4044,15,2
2581,35980,29267,18,1
2582,66675,33606,23,10
2583,2,2,1,1
2584,39620,31342,305,1
2585,10672,10393,74,1
2586,25858,25858,611,1
2587,203,203,11,1
2588,12791,12790,926,1
2589,1940,1940,2,2
2590,13392,9414,18,1
2591,6222,4050,83,1
2592,8506,8137,13,1
2593,321,321,3,1
2594,23342,11679,2,1
2595,209,209,1,1
2596,27763,14396,36,1
2597,4501,4501,152,1
2598,647,647,12,4
2599,1363,1358,77,1
2600,54170,50643,367,1
2601,36789,29379,54,1
2602,8837,7462,83,1
2603,105265,77040,157,1
2604,915,915,25,4
2605,2500,1272,1,1
2606,4903,3420,44,1
2607,83893,69066,624,3
2608,66172,43463,673,2
2609,5050,4062,8,1
2610,10878,9193,108,2
2611,3247,1798,12,1
2612,7534,4625,29,1
2613,9567,8266,171,1
2614,1233,1188,9,2
2635,4221,2242,19,1
2636,1518,1518,2,1
2637,3055,3044,43,2
2638,3098,3097,54,1
2639,7238,6705,8,1
2640,64538,49352,1288,4
2641,4474,4213,7,1
2642,9469,9469,154,1
2643,5985,5982,237,1
2644,641,636,3,1
2645,2852,2790,197,1
2646,1423,1423,2,1
2647,3367,3302,15,1
2648,9769,9769,29,1
2649,933,933,22,1
2650,2038,2038,6,2
2651,97,97,9,1
2652,1957,1957,22,1
2653,5966,5862,105,5
2654,73075,58384,140,1
2615,28541,19115,19,5
2616,1509,1286,44,1
2617,19744,13541,3409,1
2618,86463,66840,913,2
2619,538,538,1,1
2620,492,492,2,1
2621,1171,1164,22,1
2622,8806,4478,52,1
2623,20052,19833,863,1
2624,60751,28357,67,5
2625,2577,2577,1,1
2626,1765,1597,10,2
2627,634,559,19,1
2628,56464,47296,320,1
2629,22114,10063,36,5
2630,59521,51013,1400,2
2631,46579,36878,297,2
2632,587,587,13,1
2633,1668,1668,30,1
2634,17409,14510,190,2
2715,1373,1373,2,1
2716,320,320,6,1
2717,337,337,5,1
2718,45665,34966,262,1
2719,4985,4764,129,1
2720,1971,1940,47,1
2721,4074,2953,51,1
2722,878,814,2,1
2723,70643,44988,43,5
2724,48957,35774,426,1
2725,11395,10870,13,1
2726,21417,21417,7,1
2727,7029,6891,328,1
2728,3050,2947,66,1
2729,36553,25873,19,1
2730,2148,2148,7,1
2731,4335,4335,11,7
2732,502,498,2,1
2733,47554,36743,537,1
2734,1122,1122,19,1
2655,5170,4652,147,1
2656,38228,34119,46,1
2657,34312,21522,171,2
2658,2030,2030,12,2
2659,828,828,2,1
2660,6414,6414,470,1
2661,6247,4171,3,1
2662,18182,13210,66,1
2663,6297,6297,37,2
2664,73987,59418,504,3
2665,5983,3298,7,1
2666,48561,37959,197,2
2667,4459,4459,510,1
2668,37408,30848,57,2
2669,3189,3189,9,8
2670,65931,58158,1932,2
2671,12535,7534,7,1
2672,51166,41869,75,1
2673,4383,4383,430,1
2674,14293,14293,16,5
2675,1038,1038,17,1
2676,54082,47200,18,12
2677,2445,1693,24,1
2678,22855,18301,268,3
2679,62740,50196,52,15
2680,545,522,65,1
2681,1957,1783,23,1
2682,4690,4199,17,1
2683,6951,6874,69,4
2684,2486,2382,4,1
2685,21889,9739,35,5
2686,12659,11123,5,1
2687,15085,7527,14,6
2688,37766,33339,40,6
2689,40562,29902,733,1
2690,2653,2653,108,1
2691,789,770,26,4
2692,6323,5397,12,1
2693,99546,71937,1047,2
2694,485,485,20,1
2695,1506,1506,3,1
2696,15989,14843,7,2
2697,621,621,5,1
2698,4765,2546,53,1
2699,42649,34971,60,1
2700,523,496,16,1
2701,5178,4977,89,1
2702,85204,62836,689,1
2703,678,678,21,1
2704,3912,3876,108,5
2705,45317,45131,15,2
2706,24910,21632,4,2
2707,12011,9184,97,2
2708,2087,2087,40,1
2709,8101,8101,3,1
2710,26791,21917,768,1
2711,12781,12728,285,1
2712,46006,29883,15,2
2713,123527,95007,1376,2
2714,8683,8683,14,2
2776,15767,15767,11,1
2777,3294,3294,48,1
2778,72371,61025,189,1
2779,3132,2463,25,1
2780,1741,872,4,1
2781,34,18,2,1
2782,2237,2237,47,1
2783,3543,3543,12,1
2784,16115,8059,3,1
2785,3665,3665,167,2
2786,757,757,26,1
2787,3304,3060,28,1
2788,2461,2461,188,1
2789,19837,17174,685,1
2790,40,40,2,1
2791,3615,3615,38,2
2792,11136,8831,165,1
2793,11873,7884,9,1
2794,53967,45146,142,1
2795,1556,1556,69,6
2735,59026,37648,197,1
2736,1918,1917,31,4
2737,19834,6975,106,2
2738,72646,56226,345,2
2739,18115,18115,46,4
2740,541,541,1,1
2741,1696,1291,143,1
2742,8336,6680,903,1
2743,4948,4025,97,1
2744,5022,1204,5,2
2745,35123,28690,5,2
2746,6525,6525,14,1
2748,40012,38111,466,1
2749,171529,162437,771,1
2750,97131,75390,362,1
2751,32152,24825,109,1
2752,9505,5300,105,1
2753,4961,2715,11,5
2754,12,12,1,1
2755,5333,3250,6,6
2756,4383,3665,133,2
2757,58685,46526,218,1
2758,43149,34328,86,1
2759,3126,3050,64,1
2760,166788,144088,2554,1
2761,4585,4527,132,1
2762,9419,9191,308,1
2763,1633,1633,36,4
2764,87167,69131,590,1
2765,5817,5758,173,1
2766,1120,1120,24,1
2767,1230,1230,23,1
2768,102398,80755,342,5
2769,15725,14024,26,3
2770,2575,2551,14,3
2771,58315,46589,487,1
2772,253,217,24,2
2773,6166,6120,113,1
2774,313,313,9,1
2775,4617,4617,58,1
2856,1062,1062,48,1
2857,2023,2023,49,1
2858,5523,5496,166,2
2859,2960,2960,62,2
2860,3839,3637,105,1
2861,1729,1729,2,1
2862,1967,1967,2,2
2863,1066,1035,9,1
2864,8400,8400,2,1
2865,3720,3720,5,3
2866,8520,6652,50,1
2867,582,549,18,1
2868,6730,6730,180,1
2869,5276,5276,47,1
2870,6464,3175,54,1
2871,26818,25409,411,1
2872,25354,24316,144,3
2873,16291,9098,14,5
2874,49564,41778,234,2
2875,24702,12663,6,4
2796,4835,2436,2,2
2797,531,488,3,1
2798,1114,1113,4,1
2799,2090,866,3,1
2800,174,174,12,1
2801,43254,34705,56,1
2802,1174,1174,49,1
2803,3487,3479,1,1
2804,10810,5199,11,7
2805,982,320,1,1
2806,6566,3297,2,1
2807,5808,5808,1,1
2808,12145,8140,64,1
2809,1468,1468,67,1
2810,121267,95696,690,1
2811,52105,44920,232,1
2812,7724,7724,24,1
2813,952,952,13,1
2814,7960,7960,115,3
2815,582,582,14,1
2816,436,436,2,1
2817,5525,5525,12,1
2818,42900,29012,41,1
2819,8377,8377,11,2
2820,14788,10392,10,1
2821,3252,3252,4,1
2822,43266,34710,57,1
2823,11665,11412,225,2
2824,3669,3669,45,1
2825,4479,4479,64,1
2826,1879,1879,2,1
2827,3263,2640,9,9
2828,16990,14395,81,1
2829,1165,586,27,1
2830,2096,2096,26,1
2831,2898,2891,96,1
2832,222,222,9,1
2833,76161,55846,823,3
2834,1317,1317,30,1
2835,35915,29613,28,3
2836,73319,60155,424,3
2837,13187,6407,6,2
2838,361,353,1,1
2839,75596,58126,207,2
2840,4163,3184,167,1
2841,3280,3015,171,1
2842,9687,9687,11,1
2843,379,379,1,1
2844,42753,35100,58,1
2845,24653,24051,27,1
2846,1418,1347,13,1
2847,2679,2557,119,1
2848,7467,2566,38,1
2849,23172,15509,119,2
2850,6610,4539,23,1
2851,5783,5449,33,1
2852,468,468,22,1
2853,16683,12672,190,1
2854,10823,7208,2,1
2855,5298,4682,48,1
2876,43254,34705,56,1
2877,11072,11027,480,1
2878,1781,1777,23,1
2879,2159,2155,60,1
2880,4359,4359,9,1
2881,47080,36274,315,1
2882,823,698,1,1
2883,8930,4740,6,1
2884,33404,33404,255,1
2885,6735,4565,341,1
2886,1649,1649,43,1
2887,9701,6427,222,3
2888,83913,76194,845,1
2889,5430,3569,109,1
2890,81568,81568,13,3
2891,5181,3633,19,9
2892,6555,6555,18,2
2893,650,572,5,2
2894,11424,11424,39,3
2895,36284,13142,5,1
2896,1218,1218,1,1
2897,51937,40205,330,1
2898,2980,1634,3,3
2899,2245,2245,1,1
2900,52756,42313,333,1
2901,16865,11504,45,4
2903,370,215,10,1
2904,1647,1647,10,1
2905,9205,4649,361,3
2906,875,479,8,1
2907,7555,4602,101,1
2908,19976,19657,252,1
2909,44042,32127,1125,3
2910,5444,3672,88,1
2911,1007,1007,9,1
2912,24661,23376,15,12
2913,114966,92887,2728,1
2914,7781,7781,30,1
2915,3648,3648,18,1
2916,1974,1974,34,1
2917,25298,13683,109,1
2918,8632,7723,34,3
2919,54177,42221,193,1
2920,10921,5662,3,2
2921,59965,50543,564,2
2922,25225,22752,113,2
2923,8,8,2,0
2924,181,116,6,1
2925,22230,6188,47,1
2926,42245,34980,658,2
2927,6264,6264,55,1
2928,46696,37869,99,1
2929,6857,2570,49,1
2930,489,489,1,1
2931,1690,1690,68,1
2932,4775,4738,51,1
2933,5572,5559,51,1
2934,8517,8510,505,1
2935,6839,5729,59,1
2936,3267,3267,68,1
2977,77432,60842,932,2
2978,1774,1774,2,1
2979,18253,16442,115,1
2980,3291,3284,10,1
2981,1162,1162,1,1
2982,11346,11346,4,1
2983,3420,2969,45,1
2984,7754,5136,18,1
2985,61,61,1,1
2986,1581,1581,11,1
2987,14615,12752,42,1
2988,9090,8874,172,2
2989,27641,27011,400,19
2990,8294,8294,256,1
2991,26738,9100,14,1
2992,4105,4105,28,1
2993,7802,7802,32,2
2994,1786,1781,11,1
2995,2871,1483,68,1
2996,50154,42345,120,2
2937,4075,4069,121,1
2938,23799,22926,63,1
2939,2402,2402,8,1
2940,15595,9521,104,1
2941,3461,1566,7,3
2942,1576,1576,17,1
2943,92943,49613,41,5
2944,11485,10155,346,1
2945,3221,3221,3,1
2946,8237,8237,2,2
2947,11294,10560,248,1
2948,8623,4410,5,1
2949,31463,26492,807,1
2950,7333,6614,9,5
2951,98430,82394,2145,2
2952,57,57,3,1
2953,11881,6059,8,4
2954,7663,3941,296,2
2955,43519,36761,77,1
2956,81,81,1,1
2997,3565,3565,3,1
2998,1108,894,76,1
2999,809,809,1,1
3000,43254,34705,56,1
3001,82641,70968,507,1
3002,1570,838,9,4
3003,8202,8106,45,1
3004,52239,42735,205,1
3005,9022,7765,198,1
3006,70830,42426,16,12
3007,2124,2124,198,1
3008,1777,1777,85,1
3009,45212,35850,354,1
3010,85656,70499,720,1
3011,5618,5618,129,1
3012,1292,1292,33,1
3013,52235,38435,377,52
3014,2111,1308,34,1
3015,6731,3106,282,1
3016,5195,3959,4,1
2957,4356,4356,205,1
2958,21422,20410,34,1
2959,45990,26548,9,1
2960,9140,9106,6,3
2961,204950,175680,107,7
2962,97170,84423,2243,2
2963,134323,125108,12,2
2964,55657,44356,319,1
2965,70,39,1,1
2966,7734,5658,8,4
2967,47941,41452,65,1
2968,35140,28710,2,2
2969,22070,22070,165,3
2970,8350,7665,219,9
2971,2180,2172,1,1
2972,44733,36179,204,2
2973,3475,3412,21,4
2974,162149,156308,47,1
2975,44133,35539,66,1
2976,22431,21443,27,9
3037,3256,3192,90,1
3038,4912,4912,4,1
3039,16497,13138,262,2
3040,32316,24830,71,1
3041,18012,9861,25,1
3042,26490,18507,10,1
3043,444,444,8,1
3044,1000,1000,1,1
3045,66015,56317,659,1
3046,4617,4274,41,6
3047,12874,11414,78,1
3048,5091,4206,51,6
3049,1808,1808,1,1
3050,9956,5258,6,3
3051,6673,5091,175,1
3052,1362,1324,10,1
3053,3549,3066,24,1
3054,22524,18238,214,1
3055,255,255,1,1
3056,1940,1940,3,1
3017,11696,11696,19,2
3018,1008,967,17,1
3019,39644,32426,56,2
3020,8056,7833,42,6
3021,6322,4533,22,1
3022,5255,5081,73,5
3023,4090,4090,191,1
3024,90001,70919,2545,2
3025,96879,96855,798,1
3026,50663,40859,263,1
3027,30991,25410,39,2
3028,8063,6921,59,1
3029,12574,12410,314,3
3030,47616,41404,1381,1
3031,7083,6363,166,1
3032,5319,5015,38,4
3033,36135,31450,48,1
3034,242404,193502,1604,2
3035,45352,37640,58,1
3036,6076,5272,15,3
3057,17919,17919,210,3
3058,439,439,72,1
3059,33099,22368,30,1
3060,49695,38750,377,1
3061,8828,8828,414,1
3062,660,660,31,1
3063,90871,64941,461,1
3064,3587,3318,139,1
3065,55626,51360,1183,1
3066,35625,27229,50,1
3067,3483,3478,10,4
3068,1386,693,1,1
3069,171583,171358,135,1
3070,9942,9903,17,1
3071,1446,1442,4,1
3072,4661,4284,21,1
3073,10780,5316,7,3
3074,9206,4550,5,1
3075,1231,1231,117,1
3076,107693,86231,240,6
3097,8956,8956,7,1
3098,47175,28517,18,9
3099,721,442,6,1
3100,2770,2770,18,3
3101,1892,1892,29,1
3102,23153,21794,402,1
3103,59,56,1,1
3104,26937,13726,214,1
3105,9856,8906,95,4
3106,7146,6629,49,1
3107,20574,15442,29,1
3108,57268,42593,145,1
3109,8351,5776,12,1
3110,8223,8222,13,1
3111,1738,1738,94,1
3112,23594,23594,8,2
3113,24497,20083,256,1
3114,4423,4406,121,1
3115,13854,9427,9,4
3116,39517,34544,212,1
3117,3187,3187,106,1
3118,4129,4127,4,1
3119,14414,13408,103,2
3120,13133,9468,284,1
3121,2346,2346,16,1
3122,3511,3511,85,1
3123,80859,80859,104,1
3124,5243,5243,1,1
3125,2685,2449,3,1
3126,40074,26330,660,2
3127,9628,9628,41,3
3128,6646,6508,4,1
3129,5189,5066,24,1
3130,12816,12023,118,1
3131,3963,2531,70,1
3132,13345,12957,149,1
3133,370,370,7,1
3134,564,564,27,1
3135,6030,6027,159,1
3136,6317,6305,75,1
3077,23505,23505,91,1
3078,9077,9073,94,1
3079,1955,1955,2,1
3080,47847,35778,572,1
3081,3140,3139,36,1
3082,50820,41364,1616,3
3083,2189,2189,9,1
3084,65278,45800,486,1
3085,2871,2871,32,1
3086,16630,12049,16,2
3087,11025,6951,67,6
3088,50292,41004,85,1
3089,68098,35455,38,1
3090,3265,3265,32,1
3091,43352,34959,60,1
3092,44896,38543,298,3
3093,35378,31917,1215,8
3094,924,917,21,3
3095,13,13,4,2
3096,41455,34286,47,2
3138,524,268,6,1
3139,34137,32796,625,1
3140,236,236,7,1
3141,11210,6439,388,2
3142,170,170,4,1
3143,45728,35556,25,2
3144,70486,61949,363,1
3145,1018,1018,3,2
3146,262,188,2,2
3147,9810,6245,132,7
3148,59634,53089,1873,1
3149,28519,22077,13,2
3150,17274,16582,211,3
3151,7312,1828,99,2
3152,19087,13482,11,1
3153,45839,40650,109,2
3154,43365,34816,58,1
3155,5299,4347,9,1
3156,122909,113517,996,2
3157,41791,25155,71,1
3158,12351,12351,96,3
3159,6141,6141,201,1
3160,2192,1902,49,2
3161,23694,18693,41,1
3162,7165,3867,106,1
3163,23439,19200,531,2
3164,3871,3871,7,1
3165,68170,58069,331,1
3166,7153,4651,11,1
3167,9326,9160,64,1
3168,9766,9340,10,1
3169,11884,10064,227,5
3170,36682,35915,943,1
3171,4094,4094,6,3
3172,1584,792,24,1
3173,2307,2307,16,1
3174,126458,101437,2403,2
3175,9008,7152,6,5
3176,8952,8370,8,3
3177,72471,61322,2737,1
3178,35393,28547,43,1
3179,9533,4861,10,5
3180,7483,5968,11,1
3181,3331,3322,327,1
3182,58888,43314,43,1
3183,9573,6302,2,2
3184,14311,14295,190,1
3185,330,330,7,1
3186,4474,4474,2,1
3187,2850,2850,1,1
3188,12032,9015,110,2
3189,6222,6088,105,1
3190,40217,40217,15,3
3191,695,667,69,1
3192,13540,7774,7,2
3193,2845,2786,2,1
3194,1353,685,5,1
3195,266,261,5,1
3196,9997,5616,347,2
3197,3720,2332,45,3
3198,1533,1208,24,2
3199,25766,14861,7,1
3200,2218,1983,81,2
3201,13068,10932,384,1
3202,50352,41880,178,1
3203,1972,1972,1,1
3204,9374,5384,49,9
3205,1279,1279,41,3
3206,13758,13758,22,1
3207,5961,3281,45,1
3208,92908,82192,71,5
3209,1344,1305,21,1
3210,13871,11724,46,14
3211,43924,31979,400,1
3212,15540,10208,4,4
3213,414,414,7,1
3214,6318,5766,176,1
3215,5929,5929,143,1
3216,20503,14913,146,129
3217,104549,68961,286,2
3218,255,255,19,1
3219,43079,34581,54,1
3220,3974,1803,6,1
3221,7326,7278,124,1
3222,48527,36389,17,1
3223,67397,51828,373,12
3224,16160,8331,71,1
3225,6612,2716,50,1
3226,1628,1628,90,1
3227,507,507,17,1
3228,95143,84824,100,2
3229,28076,23218,141,1
3230,3182,3019,167,1
3231,7564,4647,28,1
3232,17134,13819,34,12
3233,2036,2006,15,1
3234,12000,11374,258,1
3235,129378,85250,78,4
3236,6136,5938,225,1
3237,3778,3778,2,2
3238,5665,4177,18,3
3239,82736,60999,214,3
3240,840,840,39,1
3241,10008,9975,12,2
3242,4253,4253,4,4
3243,9290,8107,9,3
3244,1751,1740,25,1
3245,15470,11349,119,2
3246,90459,75642,82,1
3247,18088,15411,245,1
3248,11516,10201,109,4
3249,139,139,7,1
3250,8591,8358,123,1
3251,640,640,1,1
3252,745,744,28,1
3253,47113,44267,2076,1
3254,25018,14998,173,1
3255,9126,6732,42,1
3256,41623,24549,18,3
3257,84102,73019,170,1
3258,62866,51561,198,1
3259,5423,5423,4,1
3260,4926,3251,31,1
3261,21838,20030,552,1
3262,444,444,10,1
3263,67419,54804,1013,2
3264,3393,3393,3,3
3265,28137,23609,55,2
3266,44034,35514,61,2
3267,2831,2831,12,1
3268,2174,2174,9,2
3269,1526,1521,21,1
3270,1654,1654,179,1
3271,16979,16979,2,2
3272,6603,3800,9,2
3273,26844,22498,930,2
3274,6347,6341,315,1
3275,59735,44257,731,1
3276,11011,11011,2,1
3277,17594,11707,14,4
3278,70392,63577,40,14
3279,12651,12357,450,1
3280,5917,5721,27,7
3281,930,322,56,1
3282,3816,3515,73,1
3283,2283,2283,44,1
3284,45815,36919,84,1
3285,10750,10356,89,1
3286,15881,15860,5,5
3287,4917,4755,146,6
3288,64502,42222,6,5
3289,22403,12494,56,7
3290,3118,3094,181,1
3291,5151,5015,38,1
3292,8965,8833,108,1
3293,20042,11267,27,1
3294,67802,54852,671,3
3295,66120,54461,838,1
3296,2195,1230,3,1
3297,3014,3009,68,1
3298,3126,1081,12,2
3299,26729,23575,149,5
3300,7029,7029,46,1
3301,62029,59088,24,10
3302,7322,3716,1,1
3303,27436,23384,267,2
3304,60480,51945,23,3
3305,16132,16077,417,1
3306,35308,28866,3,1
3307,46636,38758,77,1
3308,4785,1542,10,2
3309,873,873,3,1
3310,885,885,3,1
3311,5639,4005,97,1
3312,38982,31894,59,1
3313,113159,80639,1065,2
3314,20878,10908,4,3
3315,3942,2866,44,2
3316,3140,1812,33,5
3317,2141,2124,46,1
3318,3951,3505,44,1
3319,2508,2508,3,3
3320,1996,1961,107,2
3321,44890,34634,58,1
3322,2338,2338,2,2
3323,17834,13556,10,3
3324,39418,31824,277,1
3325,9024,4569,31,9
3326,5715,3837,8,1
3327,2383,2383,348,1
3328,21306,10906,410,1
3329,60091,49948,785,1
3330,44156,35819,171,2
3331,37538,31903,1004,1
3332,42937,34950,3,1
3333,4567,3760,48,1
3334,3176,3173,5,3
3335,1837,1836,51,2
3336,76342,67411,233,1
3337,2550,2550,1,1
3358,32493,28033,197,1
3359,41167,34644,592,3
3360,39622,34273,507,1
3361,6387,6387,28,2
3362,57,57,2,1
3363,2357,2357,8,1
3364,16822,16822,448,1
3365,8128,8128,1,1
3366,25572,25534,13,3
3367,4346,1323,7,2
3368,2268,1702,17,1
3369,42514,33765,1126,1
3370,5314,5296,28,1
3371,21598,18389,479,1
3372,1279,1279,9,1
3373,5578,5578,14,1
3374,47954,38950,107,2
3375,8743,8529,252,1
3376,1054,392,3,2
3377,100439,77054,199,4
3378,14043,14026,471,4
3379,1170,1170,271,1
3380,69600,60594,1072,1
3381,2328,2328,1,1
3382,15881,13892,108,7
3383,2539,2539,87,1
3384,50250,39535,102,1
3385,2524,2054,31,1
3386,46850,40899,181,1
3387,3123,2849,25,1
3388,46615,38045,57,1
3389,39902,30113,17,1
3390,740,740,1,1
3391,1741,1669,33,1
3392,4970,4359,281,1
3393,4417,4407,187,1
3394,16046,15898,375,1
3395,67058,54977,1174,1
3396,5059,4887,83,1
3397,11085,9762,97,1
3398,35393,28953,14,1
3399,46850,37080,310,1
3400,44549,25784,17,3
3401,8301,8301,4,3
3402,4171,4171,29,1
3403,42698,35019,106,1
3404,511,504,2,1
3405,74683,48424,21,13
3406,1036,1036,46,1
3407,16451,9372,33,1
3408,32992,16271,12,3
3409,874,874,1,1
3410,1689,1689,1,1
3411,3651,2833,17,5
3412,1909,1909,13,4
3413,81597,63711,493,4
3414,3621,2992,12,1
3415,8171,7122,4,4
3416,1365,1365,1,1
3417,3376,1741,17,1
3338,232,232,5,1
3339,43589,35278,11,1
3340,45561,36603,95,1
3341,66427,48800,33,7
3342,7648,7637,274,1
3343,5738,5599,161,1
3344,19847,19847,35,1
3345,94312,69806,2098,1
3346,78685,62373,706,4
3347,9548,4790,6,1
3348,16515,16397,670,1
3349,169,167,5,4
3350,2796,2444,42,1
3351,3467,3382,6,4
3352,4896,2475,175,1
3353,37098,29608,161,1
3354,649,547,1,1
3355,58379,47774,116,1
3356,1024,1024,14,1
3357,67099,55675,234,1
3418,23046,17639,92,1
3419,48036,23463,34,2
3420,69095,54241,112,1
3421,4622,4606,91,1
3422,10215,9449,15,1
3423,16383,13290,35,2
3424,2299,1982,3,1
3425,3661,3297,74,1
3426,169953,138271,717,1
3427,2814,1407,16,2
3428,5218,4161,54,1
3429,12671,12666,610,20
3430,2950,1504,5,1
3431,19676,10555,49,1
3432,2192,2192,6,3
3433,32473,21201,621,1
3434,4493,2303,3,3
3435,13172,12432,138,1
3436,69099,54001,443,1
3437,2035,971,5,4
3459,5406,5406,175,1
3460,7339,4153,12,2
3461,5535,4984,51,1
3462,20576,15579,246,1
3463,65208,53226,231,1
3464,3846,2540,33,1
3465,396,376,2,1
3466,3024,3000,24,1
3467,2588,2588,3,1
3468,44312,36402,64,2
3469,91918,76483,148,1
3470,13241,12190,11,1
3471,387,387,3,2
3472,14705,14705,188,1
3473,35123,28692,2,1
3474,2841,2478,132,1
3475,1143,1134,40,1
3476,980,979,4,1
3477,871,871,15,1
3478,12894,9225,68,1
3438,31164,20914,59,1
3439,3943,1972,1,1
3440,1454,760,5,1
3441,54320,38085,803,1
3442,10113,10113,15,3
3443,5593,5542,20,2
3444,17166,17166,316,2
3445,12603,6402,10,1
3446,44320,36327,64,1
3447,6109,4959,49,1
3448,11441,8221,33,1
3449,53073,43145,75,1
3450,46700,32640,507,4
3451,1434,1433,29,1
3452,3850,3697,48,1
3453,32499,32452,27,3
3454,37150,29041,179,1
3455,193806,134621,279,19
3457,983,561,10,1
3458,888,888,1,1
3499,2155,1048,56,2
3500,14441,11281,110,8
3501,2930,2474,119,1
3502,21358,16626,135,1
3503,1341,1341,13,2
3504,6583,6363,166,1
3505,61925,35448,162,1
3506,1495,1495,3,1
3507,16278,16278,1,1
3508,57130,54503,486,1
3509,29974,24797,9,4
3510,7996,4270,5,1
3511,7628,7559,5,3
3512,1254,976,6,2
3513,49947,43252,107,1
3514,8881,8879,4,2
3515,2489,2463,8,1
3516,1609,1609,39,1
3517,20803,11048,49,3
3518,36938,31991,532,1
3479,4172,3979,49,3
3480,20327,20065,565,1
3481,52369,44244,343,1
3482,3730,3730,3,1
3483,23842,23842,46,4
3484,1023,1023,3,3
3485,23748,23748,2797,3
3486,35425,28946,3,1
3487,1361,1361,4,1
3488,51668,42931,629,1
3489,5233,4723,134,1
3490,41906,33186,68,2
3491,92938,74348,725,1
3492,43209,34581,54,1
3493,44430,37914,77,3
3494,16681,15330,40,2
3495,63330,49154,81,1
3496,6206,6197,23,2
3497,3964,3728,17,1
3498,10021,8421,68,1
3540,17,17,2,1
3541,25388,23725,75,5
3542,597,378,3,1
3543,2742,2463,25,1
3544,35312,28845,58,1
3545,69730,58523,63,1
3546,2095,2095,22,1
3547,69965,60021,1187,1
3548,7022,7022,3,1
3549,98367,73967,88,7
3550,6,6,1,1
3551,16481,5494,3,1
3552,6927,6279,33,1
3553,3772,3772,17,1
3554,5970,5505,38,1
3555,12223,11101,272,1
3556,880,880,20,3
3557,74075,54044,64,4
3558,42857,35093,62,2
